"period start","updates/m","creations/m","sales/m","deletions/m","total/m"
"2026-04-19 18:50:00+00",163.8000000000000000,136.4000000000000000,323.6000000000000000,75.8000000000000000,699.6000000000000000
"2026-04-19 18:55:00+00",150.2000000000000000,110.8000000000000000,339.4000000000000000,85.0000000000000000,685.4000000000000000
"2026-04-19 19:00:00+00",114.6000000000000000,105.8000000000000000,261.0000000000000000,104.2000000000000000,585.6000000000000000
"2026-04-19 19:05:00+00",114.2000000000000000,129.2000000000000000,346.2000000000000000,82.2000000000000000,671.8000000000000000
"2026-04-19 19:10:00+00",112.2000000000000000,101.4000000000000000,357.0000000000000000,93.6000000000000000,664.2000000000000000
"2026-04-19 19:15:00+00",134.4000000000000000,101.8000000000000000,272.2000000000000000,80.0000000000000000,588.4000000000000000
"2026-04-19 19:20:00+00",139.4000000000000000,99.2000000000000000,293.6000000000000000,74.6000000000000000,606.8000000000000000
"2026-04-19 19:25:00+00",133.6000000000000000,89.6000000000000000,310.2000000000000000,90.6000000000000000,624.0000000000000000
"2026-04-19 19:30:00+00",113.8000000000000000,80.2000000000000000,370.2000000000000000,69.0000000000000000,633.2000000000000000
"2026-04-19 19:35:00+00",109.8000000000000000,94.0000000000000000,374.4000000000000000,83.0000000000000000,661.2000000000000000
"2026-04-19 19:40:00+00",100.0000000000000000,94.4000000000000000,397.6000000000000000,95.4000000000000000,687.4000000000000000
"2026-04-19 19:45:00+00",118.2000000000000000,76.8000000000000000,370.6000000000000000,109.4000000000000000,675.0000000000000000
"2026-04-19 19:50:00+00",127.8000000000000000,78.6000000000000000,390.6000000000000000,101.0000000000000000,698.0000000000000000
"2026-04-19 19:55:00+00",143.6000000000000000,91.8000000000000000,398.8000000000000000,105.6000000000000000,739.8000000000000000
"2026-04-19 20:00:00+00",147.4000000000000000,80.0000000000000000,423.4000000000000000,85.4000000000000000,736.2000000000000000
"2026-04-19 20:05:00+00",113.8000000000000000,84.8000000000000000,361.8000000000000000,101.4000000000000000,661.8000000000000000
"2026-04-19 20:10:00+00",131.6000000000000000,86.8000000000000000,358.6000000000000000,84.6000000000000000,661.6000000000000000
"2026-04-19 20:15:00+00",134.8000000000000000,74.6000000000000000,302.8000000000000000,92.8000000000000000,605.0000000000000000
"2026-04-19 20:20:00+00",124.4000000000000000,101.4000000000000000,362.8000000000000000,91.2000000000000000,679.8000000000000000
"2026-04-19 20:25:00+00",121.4000000000000000,80.8000000000000000,319.8000000000000000,117.8000000000000000,639.8000000000000000
"2026-04-19 20:30:00+00",124.0000000000000000,86.0000000000000000,353.6000000000000000,97.2000000000000000,660.8000000000000000
"2026-04-19 20:35:00+00",139.0000000000000000,96.2000000000000000,364.6000000000000000,104.8000000000000000,704.6000000000000000
"2026-04-19 20:40:00+00",152.8000000000000000,101.2000000000000000,406.0000000000000000,85.8000000000000000,745.8000000000000000
"2026-04-19 20:45:00+00",138.4000000000000000,96.2000000000000000,298.0000000000000000,105.6000000000000000,638.2000000000000000
"2026-04-19 20:50:00+00",158.8000000000000000,94.2000000000000000,335.8000000000000000,84.8000000000000000,673.6000000000000000
"2026-04-19 20:55:00+00",138.0000000000000000,82.4000000000000000,287.0000000000000000,74.2000000000000000,581.6000000000000000
"2026-04-19 21:00:00+00",120.2000000000000000,83.8000000000000000,331.2000000000000000,75.6000000000000000,610.8000000000000000
"2026-04-19 21:05:00+00",97.4000000000000000,83.6000000000000000,345.6000000000000000,82.6000000000000000,609.2000000000000000
"2026-04-19 21:10:00+00",87.2000000000000000,69.4000000000000000,293.8000000000000000,85.6000000000000000,536.0000000000000000
"2026-04-19 21:15:00+00",94.0000000000000000,94.4000000000000000,241.0000000000000000,77.0000000000000000,506.4000000000000000
"2026-04-19 21:20:00+00",89.4000000000000000,86.0000000000000000,300.8000000000000000,57.0000000000000000,533.2000000000000000
